Date,Time,CO,PT08.S1_CO,NMHC,C6H6,PT08.S2_NMHC,NOx,PT08.S3_NOx,NO2,PT08.S4_NO2,PT08.S5_O3,T,RH,AH,Datetime
2004-03-10,18:00:00,2.6,1360,150,11.8817,1045.5,166,1056.25,113,1692,1267.5,13.6,48.875,0.757754,2004-03-10 18:00:00
2004-03-10,19:00:00,2,1292.25,112,9.39716,954.75,103,1173.75,92,1558.75,972.25,13.3,47.7,0.725487,2004-03-10 19:00:00
2004-03-10,20:00:00,2.2,1402,88,8.99782,939.25,131,1140,114,1554.5,1074,11.9,53.975,0.750239,2004-03-10 20:00:00
2004-03-10,21:00:00,2.2,1375.5,80,9.2288,948.25,172,1092,122,1583.75,1203.25,11,60,0.786713,2004-03-10 21:00:00
2004-03-10,22:00:00,1.6,1272.25,51,6.51822,835.5,131,1205,116,1490,1110,11.15,59.575,0.788794,2004-03-10 22:00:00
2004-03-10,23:00:00,1.2,1197,38,4.74101,750.25,89,1336.5,96,1393,949.25,11.175,59.175,0.784772,2004-03-10 23:00:00
2004-03-11,00:00:00,1.2,1185,31,3.6244,689.5,62,1461.75,77,1332.75,732.5,11.325,56.775,0.760312,2004-03-11 00:00:00
2004-03-11,01:00:00,1,1136.25,31,3.32668,672,62,1453.25,76,1332.75,729.5,10.675,60,0.770238,2004-03-11 01:00:00
2004-03-11,02:00:00,0.9,1094,24,2.33942,608.5,45,1579,60,1276,619.5,10.65,59.675,0.764819,2004-03-11 02:00:00
2004-03-11,03:00:00,0.6,1009.75,19,1.69666,560.75,33,1705,47,1234.75,501.25,10.25,60.2,0.751657,2004-03-11 03:00:00
2004-03-11,04:00:00,0.65,1011,14,1.29362,526.75,21,1817.5,34,1196.75,445.25,10.075,60.475,0.746495,2004-03-11 04:00:00
2004-03-11,05:00:00,0.7,1066,8,1.13343,512,16,1918,28,1182,421.75,11,56.175,0.73656,2004-03-11 05:00:00
2004-03-11,06:00:00,0.7,1051.75,16,1.60377,553.25,34,1738.25,48,1221.25,471.5,10.45,58.125,0.735295,2004-03-11 06:00:00
2004-03-11,07:00:00,1.1,1144,29,3.24362,667,98,1489.75,82,1339,729.75,10.2,59.6,0.741736,2004-03-11 07:00:00
2004-03-11,08:00:00,2,1333.25,64,8.01377,899.75,174,1136,112,1517,1101.5,10.75,57.425,0.740795,2004-03-11 08:00:00
