Date,Time,CO,PT08.S1_CO,NMHC,C6H6,PT08.S2_NMHC,NOx,PT08.S3_NOx,NO2,PT08.S4_NO2,PT08.S5_O3,T,RH,AH,Datetime,AQI,AQI_CO,AQI_C6H6,AQI_NOx,AQI_NO2,AQI_等级
2004-03-10,18:00:00,2.6,1360,150,11.8817,1045.5,166,1056.25,113,1692,1267.5,13.6,48.875,0.757754,2004-03-10 18:00:00,100,100,100,100,100,重度污染(80-100)
2004-03-10,19:00:00,2,1292.25,112,9.39716,954.75,103,1173.75,92,1558.75,972.25,13.3,47.7,0.725487,2004-03-10 19:00:00,50,50,50,50,50,轻度污染(40-60)
2004-03-10,20:00:00,2.2,1402,88,8.99782,939.25,131,1140,114,1554.5,1074,11.9,53.975,0.750239,2004-03-10 20:00:00,100,66.6667,33.3333,66.6667,100,重度污染(80-100)
2004-03-10,21:00:00,2.2,1375.5,80,9.2288,948.25,172,1092,122,1583.75,1203.25,11,60,0.786713,2004-03-10 21:00:00,100,62.5,50,100,100,重度污染(80-100)
2004-03-10,22:00:00,1.6,1272.25,51,6.51822,835.5,131,1205,116,1490,1110,11.15,59.575,0.788794,2004-03-10 22:00:00,80,20,20,50,80,中度污染(60-80)
2004-03-10,23:00:00,1.2,1197,38,4.74101,750.25,89,1336.5,96,1393,949.25,11.175,59.175,0.784772,2004-03-10 23:00:00,33.3333,16.6667,16.6667,16.6667,33.3333,良(20-40)
2004-03-11,00:00:00,1.2,1185,31,3.6244,689.5,62,1461.75,77,1332.75,732.5,11.325,56.775,0.760312,2004-03-11 00:00:00,21.4286,21.4286,14.2857,14.2857,14.2857,良(20-40)
2004-03-11,01:00:00,1,1136.25,31,3.32668,672,62,1453.25,76,1332.75,729.5,10.675,60,0.770238,2004-03-11 01:00:00,18.75,12.5,12.5,18.75,12.5,优(0-20)
2004-03-11,02:00:00,0.9,1094,24,2.33942,608.5,45,1579,60,1276,619.5,10.65,59.675,0.764819,2004-03-11 02:00:00,11.1111,11.1111,11.1111,11.1111,11.1111,优(0-20)
2004-03-11,03:00:00,0.6,1009.75,19,1.69666,560.75,33,1705,47,1234.75,501.25,10.25,60.2,0.751657,2004-03-11 03:00:00,10,10,10,10,10,优(0-20)
